State,Votes,Votes16 Trumpd,Votes16 Clintonh,Trump %,Clinton %,T or H
Alabama,2078165.0,1306925.0,718084.0,62.88841357640034,34.55375295031915,Trump
Arizona,2062810.0,1021154.0,936250.0,49.50305651029421,45.38711757263151,Trump
Arkansas,1121684.0,677904.0,378729.0,60.43627260440552,33.764322215525944,Trump
California,11954317.0,3916209.0,7362490.0,32.75978878592562,61.5885457947953,Hillary
Colorado,2564185.0,1137455.0,1212209.0,44.35931884789904,47.27463112060947,Hillary
Connecticut,1623542.0,668266.0,884432.0,41.160992447377396,54.475461675768166,Hillary
Delaware,441535.0,185103.0,235581.0,41.9226108915488,53.35500016986195,Hillary
District of Columbia,280272.0,11553.0,260223.0,4.122067134783354,92.84659188217161,Hillary
Florida,9386750.0,4605515.0,4485745.0,49.06399978693371,47.78805230777425,Trump
Georgia,4029564.0,2068623.0,1837300.0,51.33614951890577,45.595503632651074,Trump
Hawaii,428825.0,128815.0,266827.0,30.03906022270157,62.222818165918504,Hillary
Idaho,688235.0,407199.0,189677.0,59.165691951150414,27.559917760648617,Trump
Illinois,5374280.0,2118179.0,2977498.0,39.413260939139754,55.40273301725998,Hillary
Indiana,2722029.0,1556220.0,1031953.0,57.17132330331528,37.91116847028449,Trump
Iowa,1542880.0,798923.0,650790.0,51.781279166234576,42.18020844135643,Trump
Kansas,1147143.0,656009.0,414788.0,57.18633160817789,36.15835166147551,Trump
Kentucky,1923346.0,1202942.0,628834.0,62.54423281094509,32.69479334451523,Trump
Louisiana,2027731.0,1178004.0,779535.0,58.09468810212005,38.44370875624035,Trump
Maine,741550.0,334838.0,354873.0,45.153799474074575,47.8555727867305,Hillary
Maryland,2474543.0,873646.0,1497951.0,35.30534729038857,60.53445019949139,Hillary
Massachusetts,3231531.0,1083069.0,1964768.0,33.51566177146375,60.799911868399214,Hillary
Michigan,4790917.0,2279805.0,2268193.0,47.58598406108893,47.343608749640204,Trump
Minnesota,2916404.0,1322891.0,1366676.0,45.36034788047198,46.8616830864311,Hillary
Mississippi,1162987.0,678457.0,462001.0,58.33745347110501,39.72537956142244,Trump
Missouri,2775098.0,1585753.0,1054889.0,57.142234256231674,38.012675588393634,Trump
Montana,485109.0,274120.0,174521.0,56.50688814266485,35.975626096403076,Trump
Nebraska,805638.0,485819.0,273858.0,60.30239387913679,33.99268654159809,Trump
Nevada,1122990.0,511319.0,537753.0,45.53192815608331,47.88582266983678,Hillary
New Hampshire,732229.0,345789.0,348521.0,47.22416074752571,47.59726806777661,Hillary
New Jersey,3674893.0,1535513.0,2021756.0,41.78388323143014,55.0153705155497,Hillary
New Mexico,788841.0,315875.0,380724.0,40.04292373241249,48.2637185440412,Hillary
New York,7046175.0,2640570.0,4143874.0,37.4752259204462,58.810262305435224,Hillary
North Carolina,4629471.0,2339603.0,2162074.0,50.53715640512707,46.70239861098601,Trump
North Dakota,336968.0,216133.0,93526.0,64.14051185869282,27.75515775978728,Trump
Ohio,5325395.0,2771984.0,2317001.0,52.05217641132723,43.508528475352534,Trump
Oklahoma,1451056.0,947934.0,419788.0,65.32718241060303,28.929827656548056,Trump
Oregon,1808575.0,742506.0,934631.0,41.05475305143552,51.67775735040018,Hillary
Pennsylvania,5970107.0,2912941.0,2844705.0,48.79210707613783,47.64914598683072,Trump
Rhode Island,450787.0,179421.0,249902.0,39.80172453952754,55.436824930621334,Hillary
South Carolina,2084444.0,1143611.0,849469.0,54.86407886227694,40.75278587479443,Trump
South Dakota,367151.0,227460.0,114938.0,61.952711554646456,31.305375717347907,Trump
Tennessee,2484691.0,1517402.0,867110.0,61.07004854929647,34.898102017514454,Trump
Texas,8903237.0,4681590.0,3867816.0,52.583009977157744,43.44280625125446,Trump
Utah,984957.0,452086.0,274188.0,45.89905955285358,27.83756042141941,Trump
Vermont,291413.0,95053.0,178179.0,32.6179683130128,61.14311990199476,Hillary
Virginia,3844787.0,1731156.0,1916845.0,45.026057360264694,49.855687714299904,Hillary
Washington,2957942.0,1129120.0,1610524.0,38.17248614070188,54.447450288071906,Hillary
West Virginia,708226.0,486198.0,187457.0,68.65012015938416,26.468528407598708,Trump
Wisconsin,2937326.0,1403694.0,1380823.0,47.788158345379436,47.00952498973556,Trump
Wyoming,248742.0,174248.0,55949.0,70.05170015518087,22.492783687515576,Trump
